ChEMBL ID,Canonical_Smiles,MW,LogP,NumHDonors,NumHAcceptors,pKi
CHEMBL439038,NC(=O)c1ccc(nc1)Oc1ccc2c(c1)CCCN(C2)CCCC(F)(F)F,393.409,4.0635,1,4,6.41
CHEMBL66755,CCN(C(=O)c1ccc(cc1)N(c1ccccc1)C1CCNCC1)CC,351.494,4.0587,1,3,7.46
CHEMBL295402,CC(=CCN1CC[C@@]23[C@H]([C@H]1C(=O)c1c3cc(cc1)O)CCCC2)C,325.452,4.057,1,3,5.96
CHEMBL55851,CCNc1ccc2c(c1)[C@@]1(C)CCN(C(C2)[C@@H]1C)CC1CC1,298.474,4.0526,1,2,7.72
CHEMBL218520,Oc1cccc(c1)[C@]1(C)C[C@@H]2CN(C)[C@H](CN2C[C@@H]1C)c1ccccc1,350.506,4.047,1,3,6.15
CHEMBL4109258,CO[C@]12CC[C@]3(C[C@@H]1COCc1ccccc1)[C@@]14[C@H]2Oc2c4c(C[C@H]3N(CC1)C)ccc2C(=O)O,475.585,4.0459,1,5,4.87
CHEMBL198238,CCNC(=O)N1CCC(CC1)(c1ccccc1)c1nccn1Cc1ccccc1,388.515,4.0428,1,3,7.41
CHEMBL377786,CN(CCc1nnc(n1c1cccc(c1)O)c1ccc(cc1)C(C)(C)C)C,364.493,4.0415,1,5,6.05
CHEMBL4084881,Oc1cccc(c1)CCN(C1CCC1)CCc1ccccc1,295.426,4.0319,1,2,5.45
CHEMBL4116756,Oc1cccc(c1)CCN(C1CCC1)CCc1ccccc1,295.426,4.0319,1,2,5.45
CHEMBL2110199,CN1CC[C@]23[C@]45C1Cc1c2c(O[C@H]3[C@@]2(CC4)[C@H](C5)C(C)(C)C(O2)(C)C)c(cc1)O,395.543,4.0251,1,4,8.36
CHEMBL2110315,CN1CC[C@]23[C@]45C1Cc1c2c(O[C@H]3[C@@]2(CC4)[C@@H](C5)C(C)(C)C(O2)(C)C)c(cc1)O,395.543,4.0251,1,4,8.21
CHEMBL3698856,O=C1CNc2c(N1C1CCN(CC1)C1CCCCCCC1)cccc2,341.499,4.0224,1,3,4.75
CHEMBL3698857,O=C1CN(C2CCN(CC2)C2CCCCCCC2)c2c(N1)cccc2,341.499,4.0224,1,3,5.01
CHEMBL138036,OCc1cccc(c1)[C@]1(C)CCN(C[C@@H]1C)CCc1ccccc1,323.48,4.0211,1,2,6.57
CHEMBL1774946,CO[C@]12CCCC[C@]32CCN([C@@H]1Cc1c3cc(cc1)O)CC1CCC1,341.495,4.0197,1,3,8.09
CHEMBL136196,C[C@H]1CN(CCCc2ccccc2)CC[C@@]1(C)c1cccc(c1)C(=O)N,350.506,4.0178,1,2,7.14
CHEMBL4112656,COc1ccc2c3c1O[C@@H]1[C@@]43CCN[C@H](C2)[C@@]24CC[C@@]1(OC)[C@H](C2)COCc1ccccc1,447.575,4.0141,1,5,6.47
CHEMBL4068691,Oc1ccc2c(c1)C13CCN(C(C2)C23CCC3C1[C@H](C2)CN3C(=O)c1ccccn1)CC1CC1,455.602,4.0063,1,4,9.30
CHEMBL78156,Fc1cccc(c1)N1CNC(=O)C21CCN(CC2)C1Cc2c3c1cccc3ccc2,401.485,4.0046,1,3,6.80
CHEMBL298688,NCc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)CC1CCC1,324.512,4.0038,1,2,6.39
CHEMBL377904,Oc1cccc(c1)n1c(nnc1N(C)C)c1ccc(cc1)C(C)(C)C,336.439,4.0034,1,5,7.30
CHEMBL377357,Oc1cccc(c1)n1c(nnc1N(C)C)c1cccc(c1)C(C)(C)C,336.439,4.0034,1,5,5.98
CHEMBL212375,CN(Cc1nnc(n1c1cccc(c1)O)c1ccc(cc1)C(C)(C)C)C,350.466,3.999,1,5,6.34
